B1,B2,B3,B4,B5,B6,B7,NDVI ,EVI,NDBI,MNDWI,RGVI
248,304,659,355,4886,1908,764,0.86452967,2.391281402,-0.438327936,-0.486560187,0.848959201
155,244,592,502,2829,1846,881,0.698589012,1.450024925,-0.21026738,-0.51435603,0.822649573
267,436,834,975,2663,2704,1511,0.463991204,0.804729214,0.007639277,-0.528547202,0.786172072
153,259,636,490,2918,1726,776,0.712441315,1.549853185,-0.25667528,-0.461473328,0.811424474
202,262,645,402,4140,2016,852,0.822985469,2.036835222,-0.34502924,-0.515219842,0.842973674
193,285,590,546,2378,1610,750,0.626538988,1.302061123,-0.192577733,-0.463636364,0.786880784
248,313,714,428,4312,1988,789,0.819409283,2.141833021,-0.368888889,-0.471502591,0.82600832
401,449,690,740,1926,1506,769,0.444861215,0.988498083,-0.122377622,-0.371584699,0.682387191
133,209,573,351,3641,1499,625,0.824148297,1.967468006,-0.416731518,-0.446911197,0.847086853
229,280,516,500,2039,1423,709,0.606144151,1.308673469,-0.177931831,-0.46776689,0.770628079
212,308,633,579,2703,1882,903,0.647166362,1.372802482,-0.179062159,-0.496620278,0.798088411
319,368,736,489,4117,2264,959,0.787668259,2.113233924,-0.290393355,-0.509333333,0.810422282
274,382,778,756,2532,2184,1225,0.540145985,1.056137012,-0.073791349,-0.474679271,0.766895635
280,317,563,525,3028,2006,943,0.704475091,1.646060765,-0.203019468,-0.561697158,0.8125
277,367,671,678,2277,1884,957,0.541116751,1.112425212,-0.09444845,-0.474755382,0.757668712
410,477,725,808,1847,1318,698,0.3913371,0.8329325,-0.1671406,-0.290259422,0.661497167
504,616,964,1021,2817,2452,1388,0.467952058,1.038390379,-0.069273107,-0.43559719,0.719096824
211,328,714,633,2811,1675,822,0.632404181,1.312048193,-0.253232278,-0.40226036,0.783169245
166,262,665,555,3280,2276,1071,0.710560626,1.46631511,-0.180705544,-0.547772866,0.830615573
561,615,862,860,1826,1449,680,0.359642591,1.017056222,-0.115114504,-0.254002596,0.577243018
395,453,686,658,1860,1191,603,0.477362986,1.246112378,-0.21927237,-0.269046351,0.653636655
65,201,543,513,1699,1143,574,0.536166365,0.906589207,-0.195636875,-0.355871886,0.781765973
675,792,1089,1301,2631,3099,1886,0.338250254,0.73921743,0.081675393,-0.479942693,0.696803025
209,266,552,407,2645,1405,666,0.733289646,1.808923375,-0.30617284,-0.435871231,0.795320065
227,296,667,517,3096,2088,996,0.713811237,1.620382006,-0.194444444,-0.515789474,0.806031677
279,328,645,520,3028,2327,1117,0.706877114,1.699647601,-0.130905696,-0.565948856,0.80192926
606,635,814,692,2641,1359,708,0.584758476,2.398474034,-0.3205,-0.250805338,0.648601831
179,294,740,469,3534,1748,757,0.765675743,1.84905888,-0.338129496,-0.405144695,0.806932773
247,301,684,411,3481,1923,824,0.788797533,2.079664002,-0.288304959,-0.475258918,0.802586938
356,457,777,860,1597,607,327,0.2999593,0.553220237,-0.449183303,0.12283237,0.593031609
576,619,854,945,1691,898,430,0.283004552,0.685787829,-0.306295867,-0.025114155,0.53359426
644,707,906,979,1634,1078,556,0.250669728,0.742125538,-0.205014749,-0.086693548,0.510886715
632,676,851,888,1437,812,367,0.236129032,0.809257075,-0.277901289,0.023451594,0.44910847
-34,86,317,379,1244,689,334,0.532963648,0.75243563,-0.287118469,-0.369781312,0.855390904
2161,2078,2403,2149,3524,2332,1784,0.242376168,4.121702638,-0.203551913,0.01499472,0.387957624
3471,3470,3222,3125,4360,2837,2301,0.16499666,-1.059540151,-0.211615951,0.063541839,0.316063765
133,278,788,668,2012,769,403,0.501492537,0.853658537,-0.446961525,0.012202954,0.701265002
392,484,717,744,1649,1112,606,0.378186377,0.910829308,-0.194494748,-0.215965008,0.63021007
388,489,782,901,1262,498,257,0.166897827,0.300682992,-0.434090909,0.221875,0.516528926
4,111,447,477,1305,927,468,0.464646465,0.620596612,-0.169354839,-0.349344978,0.799555556
379,438,683,577,879,223,132,0.207417582,0.714285714,-0.595281307,0.507726269,0.331234257
275,373,625,614,1427,841,451,0.39833415,0.87815943,-0.258377425,-0.1473397,0.638844302
3,113,419,471,1574,821,396,0.539364303,0.775995497,-0.31440501,-0.324193548,0.827120033
